scenario,pi1,rep,scheme,d1,r1,ok,n_with_fail_b,n_cross_c,a0,a1,lam,q,log_xi,se,lo,hi,log_xi_true
S1-connector,0.5,7,a,0,10,1,9,7,1.109148775857909,1.914993750882184,8102.99915638337,0.08965732815154338,25.476648102460775,,,,11.692740998710773
S1-connector,0.5,7,b,0,10,1,9,7,-6.9789541673593085,3.165744913716325,0.00012340980411015362,0.9019672899013634,11.48659977426367,843.3661933315874,-1641.480764934292,1664.4539644828192,11.692740998710773
S1-connector,0.5,7,c,0,10,1,9,7,-1.7470279071164498,1.445890548433011,0.4435688222570964,0.45755986965030804,11.117679511890218,1.9696906205249902,7.257156834974887,14.97820218880555,11.692740998710773
S1-connector,0.5,40,a,0,10,1,9,10,0.6232799841281247,0.9195247590192557,237.54771239431975,0.23749748105741283,11.577408116581521,62.16761197840652,-110.26887236595611,133.42368859911915,11.692740998710773
S1-connector,0.5,40,b,0,10,1,9,10,-6.0876067857260505,2.565267578430661,0.00043902640694843255,0.8651325115495095,10.93872517326962,214.15741448623322,-408.8020942419639,430.6795445885032,11.692740998710773
S1-connector,0.5,40,c,0,10,1,9,10,-2.4147029203013064,1.8983654772429999,0.28069303749230273,0.49351512798556324,11.704653851340074,2.0419233681696376,7.7025575905368635,15.706750112143286,11.692740998710773
S1-connector,0.5,41,a,0,10,1,9,7,1.3632123328838044,1.5726760884721522,5178.202061863419,0.09194978580140527,22.025889662317255,2084.597192153893,-4063.7095292326358,4107.76130855727,11.692740998710773
S1-connector,0.5,41,b,0,10,1,9,7,0.23565080445095246,1.208035449557201,44.723720834245626,0.25194049344310143,12.388901838470414,27.94658527949448,-42.38539880021601,67.16320247715684,11.692740998710773
S1-connector,0.5,41,c,0,10,1,9,7,-1.1603989810563229,1.9466989309913418,5.4953872661975725,0.33046863430125084,13.708777265395636,2.8805118308912148,8.063077819807324,19.354476710983946,11.692740998710773
S1-connector,0.5,42,a,0,10,1,7,8,-5.340274396019865,9.82575224713841,3855.9611911393044,0.12651271839857342,69.09545397904424,679.2032807731574,-1262.1185145177906,1400.3094224758788,11.692740998710773
S1-connector,0.5,42,b,0,10,1,7,8,-1.1245153836409698,0.5186032483135792,0.6313352853585038,0.48398003552040597,9.153479786380423,5.651889290579925,-1.9240196677638668,20.23097924052471,11.692740998710773
S1-connector,0.5,42,c,0,10,1,7,8,-1.936715848897045,1.9769288984114761,0.7098867789653479,0.43755896009986023,12.107802746209773,2.226729052757137,7.743493999476794,16.47211149294275,11.692740998710773
S1-connector,0.5,43,a,0,10,1,8,8,-2.1721770183996023,1.281883922941668,0.6139045562123837,0.3954045032523303,14.009334594207319,,,,11.692740998710773
S1-connector,0.5,43,b,0,10,1,8,8,-8.10569148987374,10.709134711329888,8103.083900142308,0.10312047859635826,111.586837490122,,,,11.692740998710773
S1-connector,0.5,43,c,0,10,1,8,8,-1.5064935523460439,2.1070403064482006,2.504852110337644,0.36069583250956877,13.515318115326265,3.704932241443873,6.253784356935018,20.77685187371751,11.692740998710773
S1-connector,0.5,8,a,0,10,1,9,9,0.8890258946474674,1.1642311045540306,738.7132923960658,0.18437593588126733,13.511681832033165,54.151241370196196,-92.62280097168679,119.64616463575311,11.692740998710773
S1-connector,0.5,8,b,0,10,1,9,9,-2.3335284838411416,2.0279499187277743,0.47968000099744645,0.4745210065232902,12.01627218845258,8.299743963944373,-4.250927061782095,28.283471438687258,11.692740998710773
S1-connector,0.5,8,c,0,10,1,9,9,-1.7785247265473898,1.732524140764495,0.6912087777069928,0.4387709267329955,11.696756366303891,2.4952453833792885,6.806165282290646,16.587347450317136,11.692740998710773
S1-connector,0.5,9,a,0,10,1,6,7,-3.910636248363488,-0.5790731749247959,0.00012340980455346283,0.9067516910633939,7.601942825293322,25779.07057655945,-50518.44794214744,50533.65182779802,11.692740998710773
S1-connector,0.5,9,b,0,10,1,6,7,-3.8847720551145954,0.9405585161036826,0.0017689602536279702,0.7642358865192407,9.384139349629923,317.1508725376696,-612.2201484896558,630.9884271889156,11.692740998710773
S1-connector,0.5,9,c,0,10,1,6,7,-1.8593012615967677,1.4320866481428143,0.4860880782236092,0.4776427919232123,10.904016369555732,1.662771379321241,7.645044351562111,14.162988387549353,11.692740998710773
S1-connector,0.5,10,a,0,10,1,9,9,-2.2239386423480516,1.325716062796442,0.6114784930842538,0.4149946180202012,13.476723195571571,,,,11.692740998710773
S1-connector,0.5,10,b,0,10,1,9,9,-11.996492164985188,7.669390802243113,0.00012340980409930312,0.9743651478995692,15.80265849552482,28.600928327057428,-40.25413094991916,71.85944794096879,11.692740998710773
S1-connector,0.5,10,c,0,10,1,9,9,-1.917940580875385,2.542635447540736,3.2640757181905973,0.35795219318783683,14.80676047997386,3.533221568325812,7.881773456655143,21.731747503292578,11.692740998710773
S1-connector,0.5,11,a,0,10,1,8,7,-4.803937227951787,9.807597060907222,8103.083331679012,0.06167913495549775,133.02899446157625,,,,11.692740998710773
S1-connector,0.5,11,b,0,10,1,8,7,2.2120419790661954,0.45339741871156947,2265.51648694674,0.09253829043066197,12.365225004384941,81.86573473523207,-148.0886666445796,172.81911665334948,11.692740998710773
S1-connector,0.5,11,c,0,10,1,8,7,-1.391901140287601,1.5985597979414843,1.4631891301262898,0.40110443699289633,11.829876294549925,2.441933591430788,7.043774402707033,16.615978186392816,11.692740998710773
