scenario,pi1,rep,scheme,d1,r1,ok,n_with_fail_b,n_cross_c,a0,a1,lam,q,log_xi,se,lo,hi,log_xi_true
S1-connector,0.5,45,a,0,10,1,8,7,0.3622776550571718,2.6602423187677537,5736.514776277263,0.10908225219639617,27.818290110611628,,,,11.692740998710773
S1-connector,0.5,45,b,0,10,1,8,7,-7.0693049610177265,3.791605002529658,0.0002322551520667837,0.8515855850675461,12.279963315725992,1.870965130314112,8.612939043980044,15.94698758747194,11.692740998710773
S1-connector,0.5,45,c,0,10,1,8,7,-1.6973054666060072,1.7849969156467285,0.946645861490329,0.4175703820605,12.104440546667508,0.9132949241844256,10.314415388002795,13.894465705332221,11.692740998710773
S1-connector,0.5,46,a,0,10,1,9,8,0.4154548172994772,0.5584120831922863,56.03867689680196,0.2937731271393093,10.002250772017181,23.171116560128183,-35.41230316741368,55.41680471144805,11.692740998710773
S1-connector,0.5,46,b,0,10,1,9,8,-3.877112479343615,1.9845801517559933,0.01844071259239979,0.6596613537083711,10.979311341724468,1.015826819682694,8.988327360616525,12.970295322832412,11.692740998710773
S1-connector,0.5,46,c,0,10,1,9,8,-1.990730085626307,1.7435684789688164,0.5412272250067768,0.45897057358817367,11.653225536484335,0.8124839963437329,10.060786165635445,13.245664907333225,11.692740998710773
S1-connector,0.5,47,a,0,10,1,10,8,-1.8341327704390622,5.801840305772648,8103.083161608012,0.07889055635817882,66.35667380561397,,,,11.692740998710773
S1-connector,0.5,47,b,0,10,1,10,8,1.815352032422821,0.5404145963599073,2296.5197712498666,0.1314237549488874,11.838440036368501,1.230111778146904,9.427465254242044,14.249414818494959,11.692740998710773
S1-connector,0.5,47,c,0,10,1,10,8,-2.0069338109430213,1.6483737968215495,0.4920327592459317,0.4683950943894886,11.450384593699376,0.8142615917794996,9.854461199817301,13.04630798758145,11.692740998710773
S1-connector,0.5,32,a,0,10,1,7,10,-5.156568093243601,9.810526485013956,7748.6652614367285,0.10491805785489086,81.5660367311623,391.6865027278663,-686.1254018459053,849.2574753082299,11.692740998710773
S1-connector,0.5,32,b,0,10,1,7,10,-1.387259809046971,0.9430474718664256,0.68970839103049,0.4692666621874364,10.054210088333726,0.9383386462611097,8.215100136359881,11.89332004030757,11.692740998710773
S1-connector,0.5,32,c,0,10,1,7,10,-1.757691019997325,1.7727012903717234,1.010056438657353,0.43555233999740584,11.75230662122852,0.7744981855622188,10.234318071434952,13.270295171022088,11.692740998710773
S1-connector,0.5,33,a,0,10,1,6,10,-0.17089561418926594,1.470200796268982,491.71638416275107,0.2843797925084305,12.529719335432096,6.1343410573579416,0.5066317941251768,24.552806876739016,11.692740998710773
S1-connector,0.5,33,b,0,10,1,6,10,-5.570271937749522,1.1533693412536314,0.00012340980413487853,0.9417365571818852,9.44134116114056,0.6404990378642672,8.18598611479404,10.69669620748708,11.692740998710773
S1-connector,0.5,33,c,0,10,1,6,10,-2.6692291260093715,1.8259599827850597,0.16164919743032297,0.5337936918058314,11.296680051275846,0.6976865002852344,9.929239638216993,12.6641204643347,11.692740998710773
S1-connector,0.5,34,a,0,10,1,9,9,-2.1076568416907273,1.2743759360211504,0.6768031655963558,0.4221004482064442,12.969173176866832,,,,11.692740998710773
S1-connector,0.5,34,b,0,10,1,9,9,-9.029780542635793,11.677742848652745,8103.0829421777435,0.09995613282393244,124.36433124950787,,,,11.692740998710773
S1-connector,0.5,34,c,0,10,1,9,9,-1.4160492578354429,1.8146116714061216,2.6813644473601825,0.3762208753401728,12.712142772427923,0.9045460267223809,10.939265137693251,14.485020407162594,11.692740998710773
S1-connector,0.5,35,a,0,10,1,9,9,-4.78687563809026,9.207650478369354,2704.7801283473486,0.11434132600366428,71.61046483998722,98.54827690979945,-121.54060864169993,264.7615383216744,11.692740998710773
S1-connector,0.5,35,b,0,10,1,9,9,0.5429446885014989,0.941185347272647,73.935994103242,0.24138998747310167,11.646815647484438,1.4079192419712385,8.887344640079878,14.406286654888998,11.692740998710773
S1-connector,0.5,35,c,0,10,1,9,9,-1.35657533465037,1.7745629414411908,2.4538227699006177,0.3808604681215727,12.391170488390639,0.9401102868322828,10.548588184703744,14.233752792077533,11.692740998710773
S1-connector,0.5,4,a,0,10,1,9,7,-3.1832618541894266,7.503665155264807,8103.083623305117,0.08429415507657222,78.11160204172846,134.57687381959923,-185.6542237966773,341.87742788013423,11.692740998710773
S1-connector,0.5,4,b,0,10,1,9,7,2.5324724100090554,0.19889002003081468,6672.144251242037,0.0821885963058203,10.131319068831667,1.1700839130311314,7.8379967404009525,12.42464139726238,11.692740998710773
S1-connector,0.5,4,c,0,10,1,9,7,-2.1157175247466484,0.9279829229312199,0.09732247221157694,0.5592380608022325,9.703441864348415,0.6976802996964693,8.336013604220224,11.070870124476606,11.692740998710773
S1-connector,0.5,5,a,0,10,1,9,9,-3.3304092143974904,7.67312268467516,8103.08372819166,0.08614929621201285,78.13776657964262,141.05305551879636,-198.32114214652694,354.5966753058122,11.692740998710773
S1-connector,0.5,5,b,0,10,1,9,9,-6.357106909481219,3.3066409467440216,0.00031097682461025397,0.8331555244825012,11.684844521191085,1.4429473292292143,8.856719724313564,14.512969318068606,11.692740998710773
S1-connector,0.5,5,c,0,10,1,9,9,-2.004110124291308,1.30937811930169,0.2152219390571317,0.5089197178421145,10.487595568531919,0.7376803093166544,9.04176873016691,11.933422406896929,11.692740998710773
S1-connector,0.5,6,a,0,10,1,10,8,-2.2048097081344853,1.1579533493507768,0.601548660610049,0.3563926420847613,15.636524862607551,,,,11.692740998710773
S1-connector,0.5,6,b,0,10,1,10,8,-11.999999994405448,8.213436269843365,0.00012341406249297214,0.9518062474196558,16.180885563997798,26.795171798381155,-36.33668612039261,68.69845724838821,11.692740998710773
S1-connector,0.5,6,c,0,10,1,10,8,-0.935795007371681,1.7140943799222108,5.087401582037716,0.3338400419862154,12.869344370295897,0.9882271116288093,10.932454822957387,14.806233917634406,11.692740998710773
S1-connector,0.5,7,a,0,10,1,9,7,-1.4646809857954541,5.432765563313402,8103.08348046911,0.07073176884381636,68.78489853674145,,,,11.692740998710773
S1-connector,0.5,7,b,0,10,1,9,7,-0.021999250783634815,1.2904046034802596,18.256070511165287,0.27286399534732897,12.349132116314607,1.8878072265346846,8.649097942552178,16.049166290077036,11.692740998710773
S1-connector,0.5,7,c,0,10,1,9,7,-1.4506751964000488,0.9474303265012325,0.44953733198142337,0.4726027249108229,10.0932380035143,0.7348395779086404,8.65297889639875,11.533497110629849,11.692740998710773
S1-connector,0.5,40,a,0,10,1,10,9,-2.2544345737765497,1.292532999582403,0.6119326682856007,0.426105159144541,13.199200203484072,,,,11.692740998710773
S1-connector,0.5,40,b,0,10,1,10,9,-11.999999851505315,10.4064416427846,0.021765303102100644,0.6782517497819823,22.70718430674462,,,,11.692740998710773
S1-connector,0.5,40,c,0,10,1,10,9,-1.7283197949021636,1.9702140245623234,1.4920174605600094,0.4044145488271052,12.599700973651643,0.9019524541228634,10.831906647803315,14.367495299499971,11.692740998710773
S1-connector,0.5,41,a,0,10,1,9,9,-1.163711168620016,4.411315109459533,4384.707469938131,0.1305339082703782,34.96260098634681,25.215015057244297,-14.457920395487186,84.3831223681808,11.692740998710773
S1-connector,0.5,41,b,0,10,1,9,9,-4.435343431695802,1.775879981572147,0.003679876501117947,0.7504889549486178,10.38101158456548,0.7818796919230826,8.848555548152964,11.913467620977995,11.692740998710773
S1-connector,0.5,41,c,0,10,1,9,9,-1.700766821832674,1.2668074318160691,0.5521992555378953,0.4750670121847791,10.618491723867377,0.6723479771490231,9.300713903576932,11.936269544157822,11.692740998710773
S1-connector,0.5,42,a,0,10,1,7,7,-4.84639400260097,6.371451957031269,63.63314912724365,0.3810100073692782,21.646048076094246,,,,11.692740998710773
S1-connector,0.5,42,b,0,10,1,7,7,-7.921194251736154,4.705480894175107,0.0001234098046818759,0.8578858456814252,13.189105341449267,2.4081419344744175,8.469233880218795,17.90897680267974,11.692740998710773
S1-connector,0.5,42,c,0,10,1,7,7,-1.7538928857893086,1.5499978820783387,0.84856809530245,0.44500241163638415,11.48561614040611,0.7580055729467549,9.999952517349822,12.971279763462398,11.692740998710773
S1-connector,0.5,43,a,0,10,1,9,10,-5.635014181355306,9.026294081991892,988.6243186550553,0.2330317766173819,38.77662146942917,42.18940135443045,-43.913085714559884,121.46632865341823,11.692740998710773
S1-connector,0.5,43,b,0,10,1,9,10,-6.444752537125006,1.964160412998107,0.00012340980420606757,0.9690111860906695,10.126288986997698,0.5428146525178044,9.062391817782178,11.190186156213219,11.692740998710773
S1-connector,0.5,43,c,0,10,1,9,10,-2.584804057910424,2.066998998188497,0.2604407068170514,0.5043691702179043,11.799747276796566,0.7641363663147995,10.302067519542254,13.297427034050878,11.692740998710773
S1-connector,0.5,8,a,0,10,1,10,9,3.242765336913032,-0.9407278250236055,6090.160927521567,0.10201074413048172,0.8007352654354996,18.038074886190063,-34.55324186193346,36.154712392804456,11.692740998710773
S1-connector,0.5,8,b,0,10,1,10,9,-1.8095165398515434,1.684592655355687,1.0311825290091343,0.4474287175945005,11.56159544144644,1.1282788781019495,9.350209475849361,13.77298140704352,11.692740998710773
S1-connector,0.5,8,c,0,10,1,10,9,-2.1391231064324305,2.495441637521096,1.1814239632905306,0.40260723776359447,13.698144272312996,0.9587448445957965,11.819038906541785,15.577249638084208,11.692740998710773
S1-connector,0.5,9,a,0,10,1,8,7,3.5000629290081884,-0.8043229369067209,8103.08197155151,0.05836537951977343,-3.1683200314069064,,,,11.692740998710773
S1-connector,0.5,9,b,0,10,1,8,7,2.638395620101176,0.23370222088797232,8103.07352581592,0.06499824233346335,11.176273383475293,1.7516685915961299,7.743066031096877,14.609480735853708,11.692740998710773
S1-connector,0.5,9,c,0,10,1,8,7,-2.0604544605475184,1.8196447150096118,0.5274687218744922,0.45990015264161577,11.786498130032928,0.8344378662539281,10.151029964838779,13.421966295227078,11.692740998710773
S1-connector,0.5,10,a,0,10,1,9,9,-3.204737378185505,7.545933690228541,8103.083840130485,0.08380870311988042,78.82032608761352,,,,11.692740998710773
S1-connector,0.5,10,b,0,10,1,9,9,-1.8373820484317014,1.5067174100654785,0.3759507250374486,0.47410158258604057,10.921340781628942,1.190556426881441,8.587893063378623,13.254788499879261,11.692740998710773
S1-connector,0.5,10,c,0,10,1,9,9,-2.1740607878302707,1.2601696023962297,0.1543507874495051,0.5421188755610367,10.159299009169537,0.6976919127522376,8.79184798787029,11.526750030468785,11.692740998710773
S1-connector,0.5,11,a,0,10,1,9,10,-3.1727673946402755,6.5097422371564075,1814.9634912050951,0.1740309943829063,37.773356105593265,25.117305371463544,-11.455657811169722,87.00237002235625,11.692740998710773
S1-connector,0.5,11,b,0,10,1,9,10,-2.871618186278463,1.6851437097765691,0.14068280577303324,0.5760144281624271,10.8287305236602,0.7080394052075505,9.44099878981824,12.21646225750216,11.692740998710773
S1-connector,0.5,11,c,0,10,1,9,10,-1.5898550631909767,1.9640054910144884,1.5233674613625248,0.3941317889031559,12.565316724105966,0.9186485773399045,10.764798598070794,14.365834850141137,11.692740998710773
S1-connector,0.5,28,a,0,10,1,9,10,-2.6199647411595874,5.3520589071893045,364.092349764663,0.21409852028526413,28.119154478251524,32.08296513364001,-34.76230170093718,91.00061065744023,11.692740998710773
S1-connector,0.5,28,b,0,10,1,9,10,-6.858884641099228,3.2403376162653057,0.000123409804099489,0.8950073594998031,11.438973582994805,1.1902404352100158,9.106145197039895,13.771801968949715,11.692740998710773
S1-connector,0.5,28,c,0,10,1,9,10,-1.836569252196668,1.6120673894853785,0.6476498771132475,0.45662085908019956,11.369251653491885,0.7436887966995919,9.911648396254755,12.826854910729015,11.692740998710773
S1-connector,0.5,29,a,0,10,1,10,8,-5.0682280132197,8.863394724178079,2218.7717289707653,0.18141838381723033,46.68432137225669,28.90782334788965,-9.973971261053116,103.3426140055665,11.692740998710773
S1-connector,0.5,29,b,0,10,1,10,8,-1.2221677574409928,1.187770180477707,5.103686212215666,0.4307915373874934,10.661434086561316,0.5146458571690296,9.652746741717273,11.67012143140536,11.692740998710773
S1-connector,0.5,29,c,0,10,1,10,8,-1.0836297261911874,1.8933110378837306,3.9448568410503952,0.3403064042312591,13.061667206008877,0.9536749783095647,11.192498595565112,14.930835816452642,11.692740998710773
S1-connector,0.5,30,a,0,10,1,8,8,-2.007642910230623,1.270975869299268,0.6189342277237396,0.37955492144524616,14.1452507894295,,,,11.692740998710773
S1-connector,0.5,30,b,0,10,1,8,8,-9.339075285059845,11.887112142488014,7757.703395459213,0.11023095351619387,115.57799353780891,8.107082465533988,99.6884038856661,131.4675831899517,11.692740998710773
S1-connector,0.5,30,c,0,10,1,8,8,-1.531549229274085,2.2684383783203472,4.012712379904302,0.33840706473824134,14.501748894579933,1.0531368121590665,12.437638671954838,16.565859117205026,11.692740998710773
S1-connector,0.5,31,a,0,10,1,9,9,-6.915013637838053,11.369925405558686,1583.169636166638,0.16685408300690172,61.82770595512274,213.9894585644002,-357.58392590232785,481.2393378125733,11.692740998710773
S1-connector,0.5,31,b,0,10,1,9,9,-7.295654494409292,3.69783005272011,0.0001234098041709049,0.897564826066996,11.901716169115078,1.3038457946237898,9.346225370258441,14.457206967971715,11.692740998710773
S1-connector,0.5,31,c,0,10,1,9,9,-1.9045082071890187,1.8333435242508913,0.8376431713032316,0.43833002931043785,12.017526289224,0.8336414868228845,10.383618999032723,13.651433579415276,11.692740998710773
S1-connector,0.5,48,a,0,10,1,7,8,-1.7112148162941438,5.784745629636506,8103.08348087302,0.06848446536912761,74.64382795896448,,,,11.692740998710773
S1-connector,0.5,48,b,0,10,1,7,8,-0.1433565016624665,0.9763587076016473,5.550604755542271,0.31791291228707563,10.878863890388551,1.7365503315347022,7.475287783239445,14.282439997537658,11.692740998710773
S1-connector,0.5,48,c,0,10,1,7,8,-1.7686198767592356,1.9069462862163902,0.7557395727737866,0.41881840379001356,12.234212566312724,0.914932830399707,10.440977170456005,14.027447962169443,11.692740998710773
S1-connector,0.5,49,a,0,10,1,8,9,-1.3761641914408984,5.178996154396924,8102.7650565422655,0.08491978827514966,56.24961184164367,140.42696294953615,-218.98217799778774,331.4814016810751,11.692740998710773
S1-connector,0.5,49,b,0,10,1,8,9,0.8670334404640565,0.6479504112923296,97.86255824060346,0.2335343753425343,10.610358623961174,1.1393110350460092,8.377350028081946,12.843367219840403,11.692740998710773
S1-connector,0.5,49,c,0,10,1,8,9,-2.4689089698395383,1.8890214861467962,0.2570857724303423,0.5082117661736517,11.47362944648526,0.7217992206176514,10.058928970005583,12.888329922964937,11.692740998710773
S1-connector,0.5,50,a,0,10,1,9,10,-9.183076609939626,11.999893738238407,48.36433790594847,0.37552676107639454,33.510982008582346,33.52899290337943,-32.20463651994041,99.2266005371051,11.692740998710773
S1-connector,0.5,50,b,0,10,1,9,10,-7.062044372953201,2.8975858827263146,0.00012340980424669251,0.9486328054346574,11.010784418686102,0.8304159809035021,9.383199003928736,12.638369833443468,11.692740998710773
S1-connector,0.5,50,c,0,10,1,9,10,-1.5860418056429997,1.7510809299598589,1.1661582755600186,0.4102462998584346,12.048574812741293,0.8950823515468168,10.294245640512113,13.802903984970474,11.692740998710773
S1-connector,0.5,51,a,0,10,1,8,10,-5.244335322477834,10.104553113722762,8103.082416524371,0.08900602048493608,97.13409205207442,170.55590890946212,-237.14934676096544,431.4175308651143,11.692740998710773
S1-connector,0.5,51,b,0,10,1,8,10,-4.863731665994946,2.5742030220094545,0.0019066988709670087,0.7290841561543343,11.279296763422215,1.417910979632863,8.500242310057898,14.058351216786532,11.692740998710773
