scenario,pi1,rep,scheme,d1,r1,ok,n_with_fail_b,n_cross_c,a0,a1,lam,q,log_xi,se,lo,hi,log_xi_true,se_finite
S1-connector,0.5,42,a,0,10,1,10,8,-7.433717796526633,9.684162986218851,79.31330393642921,0.3818247650127597,28.376628873465663,,,,11.692740998710772,
S1-connector,0.5,42,b,0,10,1,10,8,-7.45902568934436,3.0499815574433926,0.0001234098041207,0.9793350858875844,11.076991914529854,,,,11.692740998710772,0.0
S1-connector,0.5,42,c,0,10,1,10,8,-2.087538898144276,1.8888545036661135,0.5228579508084429,0.4552716751524254,11.967837633843198,,,,11.692740998710772,0.0
S1-connector,0.5,43,a,0,10,1,9,9,-4.290636251268449,9.111611291268463,8103.083654268557,0.0666345406577121,115.43259632250502,,,,11.692740998710772,
S1-connector,0.5,43,b,0,10,1,9,9,1.0005805575285918,0.7915555851389031,94.33304263487518,0.2036117075050288,11.468427402215733,4.2484679266366046,3.1415832765344316,19.795271527897036,11.692740998710772,1.0
S1-connector,0.5,43,c,0,10,1,9,9,-2.024206628717199,1.5009323247774633,0.3232227497001119,0.4907801060672092,10.943893648499252,0.7064764711606688,9.559225209099392,12.328562087899112,11.692740998710772,1.0
S1-connector,0.5,4,a,0,10,1,9,7,1.4185617837652558,0.9406583822054682,2449.0975554734914,0.1436181268774673,13.6689148128031,,,,11.692740998710772,
S1-connector,0.5,4,b,0,10,1,9,7,-6.740702918987752,2.919005206875905,0.0001234098041534,0.9057635601562544,11.169592063836586,,,,11.692740998710772,0.0
S1-connector,0.5,4,c,0,10,1,9,7,-2.015591027199213,1.592022057620453,0.3645886284223481,0.4736821072717975,11.326504985668214,,,,11.692740998710772,0.0
S1-connector,0.5,5,a,0,10,1,7,9,-2.491980121226704,6.284630629779997,5891.210060222272,0.1138771771030875,51.74807989885787,,,,11.692740998710772,
S1-connector,0.5,5,b,0,10,1,7,9,-6.1290484614448175,2.2383051354029995,0.0001234098042567,0.8950373495001441,10.596611387491455,1.106834868254848,8.427254908878817,12.765967866104093,11.692740998710772,1.0
