combo,rep,scheme,ok,log_xi,log_xi_true,a0,a1,lam,q
0,24,b,1,10.00335155598259,9.672761633543844,-1.2951358076627622,1.6238286920657357,1.536372107204592,0.350703528934036
0,24,c,1,8.994763284817866,9.672761633543844,-1.4600610914032863,1.0896575835352271,0.5960899852067771,0.4047718681511696
0,25,b,1,10.950731141254948,9.672761633543844,-7.012516098766259,5.336473288850515,0.00012340980419696707,0.8476375109676102
0,25,c,1,9.646477776998408,9.672761633543844,-1.6917158206985021,1.5080046100498519,0.4734359885084198,0.4028269096680365
0,26,b,1,11.013309966427999,9.672761633543844,-2.849240778144222,2.8879977970639743,0.15554193000741987,0.46238145414319687
0,26,c,1,9.73244861945809,9.672761633543844,-1.786257137478359,1.5222254456430964,0.528709072202893,0.41053101595573993
0,27,b,1,10.27042088360894,9.672761633543844,-0.1253316522829397,1.1463578390504663,23.418359894887622,0.2292071127654761
0,27,c,1,9.588372348359652,9.672761633543844,-1.7462736400266259,1.436022082052602,0.49415210138403054,0.41178468352950787
0,8,b,1,8.664415750421535,9.672761633543844,1.8356057057712571,0.12867217147106202,7600.267076531642,0.050532975008537866
0,8,c,1,9.653743392533167,9.672761633543844,-1.3354317663192483,1.4243786138314296,1.0676493821015254,0.36616812432849966
0,9,b,1,9.174963268928519,9.672761633543844,-0.5471968623594647,1.0647609087632985,5.5668723799596,0.29977730959151566
0,9,c,1,8.879560647865416,9.672761633543844,-1.723275023722446,1.2008096162314201,0.36708562966964775,0.43994829915040784
0,10,b,1,14.579165288763274,9.672761633543844,-8.478936935524263,10.34048158589844,0.00042668326524705833,0.7392360906462819
0,10,c,1,9.929762043491206,9.672761633543844,-1.5981692377779482,1.6774192005787762,0.8212026967669382,0.383728195807877
0,11,b,1,10.342964640019368,9.672761633543844,-5.441577979092817,3.727248305526111,0.0007026809821203204,0.7423342400840477
0,11,c,1,9.33853511819924,9.672761633543844,-1.2661380955504675,1.1996887054604497,1.2036037750949857,0.37100360574939445
0,20,b,1,10.342398525550243,9.672761633543844,-1.893575919562672,2.1102559534239314,0.4398528825961431,0.3968334128881234
0,20,c,1,9.459673300073053,9.672761633543844,-0.7404523157259462,1.1034505057004427,3.303250413543785,0.31044928763266955
0,21,b,1,9.065663954107993,9.672761633543844,1.2483020438974928,0.3340683646368967,940.0845645677687,0.11121429510845844
